cluster,size,coherence
108,7,0.8546207972935268
109,7,0.7477244422549293
110,5,0.7319360256195069
111,9,0.767988469865587
112,12,0.8305498758951823
113,5,0.6817770957946777
114,6,0.8704701105753581
115,14,0.7662422264015282
116,8,0.8408607755388532
117,12,0.8658683083274148
118,23,0.6812439567957942
119,7,0.8963321504138765
120,9,0.9107526143391927
121,5,0.77689208984375
122,5,0.8024485588073731
123,52,0.7277650674903375
124,14,0.7783694424472012
125,5,0.8365776062011718
126,13,0.7530862368070163
127,18,0.7456526912115757
128,7,0.7358624594552177
129,34,0.7157824511196524
130,14,0.7640802572061728
131,6,0.7797557195027669
132,5,0.7444285392761231
133,8,0.9882740293230329
134,10,0.8467969258626302
135,22,0.8209241726697781
136,8,0.7259754453386579
137,6,0.7796806971232096
138,8,0.791689259665353
139,12,0.8605452450838956
140,13,0.6410477467072315
141,5,0.8418968200683594
142,10,0.763193851047092
143,8,0.8036153657095773
144,7,0.8603723616827101
145,14,0.7049308189978967
146,7,0.6538947423299154
147,11,0.7716214266690341
148,12,0.6819469567501184
149,10,0.6992437998453777
150,5,0.8241470336914063
151,7,0.7764351254417783
152,12,0.7800306262391986
153,9,0.8123981687757704
154,10,0.8604517618815104
155,8,0.6846373421805245
156,15,0.8159788585844494
157,11,0.8523133017800071
158,5,0.8340556144714355
159,8,0.7711965015956334
160,15,0.790159897577195
161,12,0.7122423576586174
162,7,0.8224994114467076
163,10,0.7610327826605903
164,10,0.7867999606662326
165,6,0.863950538635254
166,6,0.7674655914306641
167,7,0.7961734590076265
168,9,0.8436741828918457
169,72,0.7589087926539271
170,11,0.9057554071599787
171,7,0.9587233407156808
172,11,0.9333081332120028
173,7,0.958643050420852
174,23,0.6938650259387352
175,5,0.7276514053344727
176,10,0.657015143500434
177,14,0.7952510288783482
178,6,0.752206293741862
179,13,0.7672704549936148
180,6,0.7568639119466146
181,38,0.7428592340027116
182,5,0.8835371017456055
183,5,0.8233625411987304
184,7,0.8257650647844587
185,9,0.8385338253445096
186,6,0.8241207758585612
187,13,0.7215321858723959
188,6,0.8692580540974935
189,6,0.8578922271728515
190,6,0.8385444641113281
191,15,0.8613683791387649
192,5,0.8184454917907715
193,6,0.7234017690022786
194,6,0.8236275355021159
195,8,0.8077225685119629
196,7,0.9074191138857887
197,5,0.9097731590270997
198,9,0.8703775405883789
199,6,0.9168827692667644
200,11,0.7423589533025569
201,14,0.9261742895776099
202,28,0.9144953974971065
203,5,0.8367582321166992
204,5,0.8168820381164551
205,5,0.8699844360351563
206,32,0.7013517810452369
207,7,0.8457963126046317
208,11,0.7364056673916903
209,5,0.8364048004150391
210,7,0.8675187428792318
211,7,0.8773976280575707
212,7,0.7684507824125744
213,6,0.8650624593098958
214,26,0.8687872783954327
215,5,0.779294490814209
216,14,0.6911644988007598
217,8,0.7941111155918666
218,5,0.8620489120483399
219,17,0.8121793410357308
220,6,0.8421671549479167
221,114,0.7985776543820835
222,15,0.9381883893694196
223,8,0.8195452008928571
224,5,0.8148866653442383
225,32,0.8940494906517767
226,15,0.7326549711681548
227,8,0.8065178053719657
228,17,0.7126087861902574
229,5,0.7695442199707031
230,26,0.79974853515625
231,13,0.6924730936686198
232,5,0.898460578918457
233,12,0.7757819204619436
234,5,0.9024991989135742
235,10,0.7465773688422309
236,5,0.9236965179443359
237,5,0.9318381309509277
238,6,0.8265513102213542
239,9,0.8055535422431098
240,23,0.7504686197273345
241,6,0.8803110122680664
242,7,0.8033342815580822
243,6,0.9456377665201823
244,8,0.9398374557495117
245,11,0.8989280007102273
246,17,0.9310099657844094
247,6,0.9473732630411784
248,40,0.8087286533453526
249,17,0.7534193151137408
250,5,0.8014082908630371
251,10,0.8475235833062066
252,14,0.7322466504442823
253,6,0.9300670623779297
254,5,0.8505697250366211
255,5,0.8470008850097657
256,11,0.8144759438254616
257,6,0.9687149683634441
258,17,0.7552328109741211
259,6,0.7072059631347656
260,5,0.7523079872131347
261,7,0.8255969456263951
262,20,0.7405347322162829
263,7,0.7360602787562779
264,5,0.8752107620239258
