product_id,cluster_id,gross_margin,z_score
121426,cluster_550,1.0,2.5011278009314863
11193574,cluster_554,1.0,3.7410847749287006
18014850,cluster_559,0.36474164133738607,2.471957384281459
18003420,cluster_559,0.012048192771084437,-2.1724281384769126
18004544,cluster_562,0.3799283154121864,2.132351516423329
10225784,cluster_565,0.17857142857142858,-2.4748737341529163
290234,cluster_578,1.0,2.470859741952325
13181130,cluster_589,1.0,2.6450348771703776
11121013,cluster_604,0.1656626506024096,2.293714408540674
13332,cluster_614,0.23363802559414984,-2.1408720964441885
13332,cluster_614,0.23363802559414984,-2.1408720964441885
40476,cluster_62,0.255561797752809,-2.041241452319315
1060A1AU,cluster_620,0.11538461538461527,-2.011352732334493
50130124,cluster_64,1.0,2.040810566753596
22059465,cluster_640,0.22263681592039794,-2.6666666666666665
15181620,cluster_642,0.32253521126760565,2.203181364272707
13946A,cluster_644,0.23214285714285712,-2.666666666666667
10256,cluster_651,1.0,2.3700704774243877
17201376,cluster_665,1.0,2.2515669414593993
1834050,cluster_669,0.23346499102333942,-2.6666666666666674
97466740,cluster_671,1.0,3.1714397740517373
182293,cluster_675,1.0,2.146058780064633
17866977,cluster_704,0.25449101796407175,-2.0271230995645966
17867A,cluster_704,0.10769230769230767,-2.5286485401477727
17868,cluster_704,0.2516410256410256,-2.0368598585104234
1787105,cluster_707,-19.00173913043478,-8.164262950907986
17844950,cluster_714,0.42279069767441857,-2.474873734152917
170048,cluster_715,0.30882352941176466,-2.4748737341529154
17853A,cluster_717,0.338235294117647,-2.774774475732364
17853A,cluster_717,0.4117647058823529,-2.420514212862761
17853S,cluster_717,0.4727272727272727,-2.126800249465417
17005D,cluster_718,-10.82608695652174,-4.356451864752773
1233034,cluster_725,0.21432715551974219,-2.041241452319315
17001C1,cluster_728,0.2716535433070866,-2.092471033932876
1024172,cluster_732,0.1919831223628692,-2.0072790485529346
13181055,cluster_739,0.31769722814498935,2.7844315903407866
13181055,cluster_739,0.31769722814498935,2.7844315903407866
13101004,cluster_741,1.0,2.9707095874107092
13081201,cluster_744,0.3290488431876607,2.162080523838612
100743,cluster_748,0.05789052069425904,-2.041241452319315
83300,cluster_752,1.0,3.0853176026617497
1300280,cluster_759,0.31016042780748665,-4.364357804719847
78289989,cluster_764,0.9598393574297188,2.2558640024968213
78293470,cluster_764,1.0,2.3767509168017886
21220,cluster_775,0.05685618729097002,-2.639505876988632
240032,cluster_783,1.0,2.0090851969366534
11301022,cluster_797,-0.21943573667711605,-3.1759621513435445
74504759,cluster_805,0.2984409799554566,2.366922355219696
74261269,cluster_812,-0.08591885441527432,-2.664440384887749
16041176,cluster_822,-0.08068136272545082,-2.041235371807416
212341,cluster_827,1.0,2.8320340264406845
16021054,cluster_840,-0.39582260371959943,-2.100331940110624
86294800,cluster_851,0.4481743227326266,2.5822788319297305
11122,cluster_865,0.15660642570281133,-2.041241452319315
99993,cluster_873,1.0,2.2922229887268726
13191490,cluster_887,-0.23690423162583515,-2.678887137042118
64009980,cluster_890,-0.5353535353535354,-2.164750647721148
64009980,cluster_890,-0.5353535353535354,-2.164750647721148
15023575,cluster_911,1.0,3.4577848368017228
17061011,cluster_913,-0.19817453963170528,-2.5016915263978525
70001459,cluster_928,0.8876404494382023,2.157601513178125
21070204,cluster_930,1.0,2.0723386357303775
17020K1,cluster_942,0.2591362126245847,-3.1754264805429413
10544011,cluster_944,1.0,4.0015566043143
10544011,cluster_947,1.0,4.001556604314301
210595,cluster_949,1.0,2.323184504997446
16207PF,cluster_976,1.0,2.2548415602161906
17059001,cluster_986,0.08360128617363337,2.0412409864333085
1706388,cluster_997,1.0,2.9447556624892393
1706388,cluster_998,1.0,2.0142571788952224
