cluster_id,product_count,mean_margin,median_margin,std_margin,min_margin,max_margin,margin_range,high_variance
cluster_392,3,0.2031877729257642,0.20397379912663757,0.008585979072397209,0.19423580786026204,0.211353711790393,0.017117903930130962,False
cluster_393,10,0.7099952396041316,1.0,0.3811405280574823,0.11924148606811141,1.0,0.8807585139318885,True
cluster_394,3,0.7388993120700439,1.0,0.4522396573858701,0.21669793621013136,1.0,0.7833020637898687,True
cluster_395,14,0.18185040248907622,0.12514277389277392,0.23934908015355133,0.04580310880829017,1.0,0.9541968911917098,True
cluster_396,5,0.5343063742197629,0.23965141612200427,0.42555877920043556,0.19222903885480563,1.0,0.8077709611451944,True
cluster_397,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_398,8,0.13367582073214673,0.12159984692968201,0.06935041948655835,0.0,0.22414201183431956,0.22414201183431956,False
cluster_399,3,0.19379660809354937,0.25204408817635277,0.10097438343787989,0.07720144752714099,0.2521442885771544,0.1749428410500134,False
cluster_40,3,0.23076193328079853,0.26172,0.07155899638931927,0.14893617021276595,0.2816296296296296,0.13269345941686367,False
cluster_400,1,0.22606382978723397,0.22606382978723397,0.0,0.22606382978723397,0.22606382978723397,0.0,False
cluster_401,11,0.5379336990904323,0.2931752577319587,0.4465009896477253,0.06169665809768643,1.0,0.9383033419023136,True
cluster_402,13,0.6675561818555503,0.5,0.3292237120371003,0.2554347826086956,1.0,0.7445652173913044,True
cluster_404,1,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_405,7,0.0962071291753167,0.09288508557457205,0.059096591814468,-3.344481605343376e-05,0.19496240601503764,0.19499585083109108,False
cluster_406,3,0.7767497034400949,1.0,0.38668085644657496,0.3302491103202847,1.0,0.6697508896797153,True
cluster_407,8,0.9033404325032766,1.0,0.27339454257396784,0.2267234600262123,1.0,0.7732765399737878,True
cluster_408,14,0.40758329953729294,0.7534246575342465,1.1689968111804554,-3.5,1.0,4.5,True
cluster_409,6,0.6029114347898878,0.6044776494224008,0.4350004432448509,0.20000000000000004,1.0,0.7999999999999999,True
cluster_41,3,0.4904517312542995,0.26326530612244897,0.442143257708937,0.2080898876404494,1.0,0.7919101123595507,True
cluster_410,3,0.4797402601978349,0.22535211267605637,0.4505947347896371,0.21386866791744844,1.0,0.7861313320825516,True
