product_code,cluster,cluster_id
104402H,532,refined_cluster_cluster_532
10440158,532,refined_cluster_cluster_532
1044703,532,refined_cluster_cluster_532
10440GO1,532,refined_cluster_cluster_532
10441545,408,refined_cluster_cluster_408
10440AU,408,refined_cluster_cluster_408
1044039,408,refined_cluster_cluster_408
1044212,408,refined_cluster_cluster_408
10440AU,408,refined_cluster_cluster_408
10440PK,408,refined_cluster_cluster_408
1044213,408,refined_cluster_cluster_408
10440957,408,refined_cluster_cluster_408
10440800,408,refined_cluster_cluster_408
10440803,408,refined_cluster_cluster_408
10440802,408,refined_cluster_cluster_408
10440801,408,refined_cluster_cluster_408
450106,534,refined_cluster_cluster_534
450105,534,refined_cluster_cluster_534
450012,534,refined_cluster_cluster_534
71563350,497,refined_cluster_cluster_497
71525220,497,refined_cluster_cluster_497
71319230,497,refined_cluster_cluster_497
71562251,497,refined_cluster_cluster_497
20072,497,refined_cluster_cluster_497
71103010,497,refined_cluster_cluster_497
160020,497,refined_cluster_cluster_497
598369,354,refined_cluster_cluster_354
62160,354,refined_cluster_cluster_354
594360,354,refined_cluster_cluster_354
78071509,354,refined_cluster_cluster_354
83200,299,refined_cluster_cluster_299
83720,299,refined_cluster_cluster_299
83123,299,refined_cluster_cluster_299
84030,299,refined_cluster_cluster_299
83791,299,refined_cluster_cluster_299
70174855,299,refined_cluster_cluster_299
83230,299,refined_cluster_cluster_299
88680,147,refined_cluster_cluster_147
87230,147,refined_cluster_cluster_147
83890,147,refined_cluster_cluster_147
85290,295,refined_cluster_cluster_295
88080,295,refined_cluster_cluster_295
84480,295,refined_cluster_cluster_295
48009990,760,refined_cluster_cluster_760
48019990,760,refined_cluster_cluster_760
48029990,760,refined_cluster_cluster_760
48009990,760,refined_cluster_cluster_760
10539980,485,refined_cluster_cluster_485
83711,485,refined_cluster_cluster_485
104311,485,refined_cluster_cluster_485
38091000,485,refined_cluster_cluster_485
10439980,485,refined_cluster_cluster_485
21130,485,refined_cluster_cluster_485
77002179,220,refined_cluster_cluster_220
77019989,220,refined_cluster_cluster_220
77022179,220,refined_cluster_cluster_220
